Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Young,Female,Rent,Single,Close,17000,0,Low,18,659
Young,Female,Rent,Single,Close,15900,0,Low,18,503
Young,Female,Rent,Single,Far,13200,0,NEW,18,512
Young,Female,Own,Single,Far,27900,0,Medium,18,1184
Young,Female,Rent,Single,Close,13500,0,Low,18,296
Young,Female,Rent,Single,Close,13100,0,NEW,18,314
Young,Female,Rent,Married,Close,13800,0,Low,18,363
Young,Male,Rent,Single,Close,13400,0,Low,18,424
Young,Male,Own,Married,Close,58900,0,NEW,18,1215
Young,Male,Rent,Single,Close,17000,0,NEW,18,581
Young,Male,Rent,Married,Close,36900,0,Medium,18,721
Young,Male,Rent,Married,Close,39700,0,Medium,18,1011
Young,Male,Rent,Single,Far,20400,0,Medium,18,867
Young,Male,Rent,Single,Close,29200,0,Low,18,737
Young,Male,Rent,Married,Close,66700,0,NEW,18,1310
Young,Male,Rent,Single,Far,17700,0,Low,18,742
Young,Male,Rent,Single,Far,25700,0,Medium,18,907
Young,Male,Rent,Single,Close,17900,0,NEW,18,395
Young,Male,Rent,Single,Close,10400,0,NEW,18,189
Young,Male,Own,Married,Close,55100,0,Medium,18,1439
Young,Male,Rent,Single,Far,17500,0,Low,18,472
Young,Male,Own,Single,Close,41400,0,Medium,18,643
Young,Male,Rent,Single,Close,17800,0,Low,18,292
Middle,Female,Rent,Single,Close,34700,0,NEW,18,1615
Middle,Female,Own,Single,Far,55200,0,High,18,1714
Middle,Female,Own,Married,Close,82000,0,High,18,1800
Middle,Female,Own,Single,Close,72200,0,NEW,18,3278
Middle,Female,Rent,Married,Far,72900,0,High,18,2075
Middle,Female,Rent,Single,Close,44600,0,Medium,18,966
Middle,Female,Own,Single,Far,56200,0,High,18,1546
Middle,Female,Own,Married,Far,87200,0,High,18,3604
Middle,Female,Rent,Single,Close,35300,0,NEW,18,1369
Middle,Female,Rent,Single,Close,42200,0,NEW,18,1753
Middle,Female,Own,Single,Close,51200,0,Medium,18,1257
Middle,Female,Own,Married,Close,71900,0,High,18,1846
Middle,Female,Own,Married,Close,86900,0,High,18,2230
Middle,Female,Own,Married,Far,109800,0,High,18,4279
Middle,Male,Own,Single,Close,59400,0,Medium,18,1699
Middle,Male,Own,Married,Far,75500,0,NEW,18,2450
Middle,Male,Rent,Single,Close,54200,0,NEW,18,1405
Middle,Male,Own,Single,Close,68400,0,High,18,1155
Middle,Male,Own,Single,Close,66600,0,High,18,1177
Middle,Male,Rent,Single,Close,45600,0,Medium,18,1388
Middle,Male,Own,Married,Close,87200,0,High,18,1274
Middle,Male,Rent,Single,Far,51900,0,High,18,1492
Middle,Male,Own,Married,Far,130600,0,High,18,3442
Middle,Male,Own,Single,Far,55600,0,High,18,1786
Middle,Male,Own,Single,Close,48100,0,Medium,18,1640
Middle,Male,Rent,Single,Far,40200,0,High,18,1634
Middle,Male,Own,Married,Close,97500,0,High,18,2837
Middle,Male,Own,Married,Close,54700,0,Medium,18,848
Middle,Male,Own,Single,Close,67900,0,High,18,1418
Middle,Male,Own,Married,Close,90100,0,High,18,1956
Middle,Male,Own,Single,Close,61600,0,NEW,18,1666
Middle,Male,Rent,Single,Close,43700,0,NEW,18,1344
Middle,Male,Rent,Single,Close,52400,0,NEW,18,857
Middle,Male,Rent,Single,Close,47200,0,Medium,18,1587
Middle,Male,Own,Married,Close,82400,0,High,18,1779
Middle,Male,Rent,Married,Far,63000,0,High,18,2107
Middle,Male,Rent,Single,Close,53300,0,Medium,18,1720
Middle,Male,Own,Married,Far,98900,0,NEW,18,3126
Middle,Male,Rent,Married,Close,79500,0,High,18,1763
Middle,Male,Own,Single,Close,64200,0,High,18,1642
Middle,Male,Own,Married,Close,98500,0,High,18,2034
Middle,Male,Rent,Single,Far,49000,0,High,18,1523
Middle,Male,Own,Married,Close,98400,0,High,18,3305
Middle,Male,Own,Married,Close,102600,0,High,18,2546
Old,Female,Own,Married,Close,74400,0,High,18,2479
Old,Female,Own,Married,Close,21500,0,Low,18,445
Old,Female,Own,Single,Close,30300,0,Low,18,1062
Old,Female,Own,Single,Close,58200,0,Medium,18,981
Old,Female,Rent,Married,Close,84800,0,High,18,2624
Old,Female,Rent,Married,Far,88400,0,High,18,3632
Old,Female,Own,Married,Far,84100,0,High,18,2710
Old,Female,Rent,Single,Far,11700,0,Low,18,540
Old,Female,Own,Married,Far,70400,0,High,18,2610
Old,Female,Own,Married,Close,41600,0,NEW,18,982
Old,Female,Rent,Married,Close,68600,0,High,18,1342
Old,Female,Own,Married,Far,37500,0,Medium,18,1578
Old,Female,Own,Married,Close,69400,0,High,18,2419
Old,Female,Own,Married,Close,111500,0,High,18,2510
Old,Female,Own,Married,Close,114800,0,High,18,3596
Old,Female,Own,Married,Far,78800,0,High,18,3398
Old,Female,Own,Single,Close,25500,0,Low,18,636
Old,Female,Rent,Married,Far,60200,0,High,18,2328
Old,Female,Own,Married,Close,61000,0,NEW,18,1850
Old,Female,Rent,Married,Far,81500,0,High,18,3655
Old,Female,Own,Single,Close,30900,0,Medium,18,862
Old,Female,Rent,Married,Close,41700,0,Medium,18,1398
Old,Female,Rent,Single,Close,21400,0,Low,18,498
Old,Female,Own,Married,Close,118800,0,High,18,2176
Old,Female,Own,Married,Close,83700,0,High,18,1582
Old,Female,Rent,Married,Far,64600,0,High,18,2206
Old,Female,Own,Married,Close,77600,0,High,18,2004
Old,Female,Own,Married,Far,78900,0,High,18,2233
Old,Female,Own,Married,Close,62800,0,High,18,1403
Old,Female,Own,Married,Close,25900,0,Low,18,582
Old,Male,Own,Single,Close,65300,0,High,18,1443
Old,Male,Own,Single,Close,45700,0,Medium,18,724
Old,Male,Own,Married,Close,124900,0,High,18,4109
Old,Male,Own,Married,Close,55500,0,Medium,18,858
Old,Male,Own,Married,Far,52000,0,High,18,2545
Old,Male,Own,Married,Close,74800,0,High,18,1968
Old,Male,Rent,Married,Far,66300,0,NEW,18,2243
Old,Male,Own,Single,Close,71300,0,High,18,1543
Old,Male,Own,Married,Close,102700,0,NEW,18,2381
Old,Male,Rent,Single,Close,44400,0,Medium,18,886
Old,Male,Own,Married,Far,80700,0,NEW,18,3034
Old,Male,Rent,Married,Close,90200,0,High,18,2183
Old,Male,Own,Married,Close,77300,0,High,18,1853
Old,Male,Own,Married,Far,74500,0,NEW,18,1413
Old,Male,Own,Married,Far,59700,0,High,18,1857
Young,Female,Rent,Single,Close,12000,0,Low,24,344
Young,Female,Rent,Single,Far,28900,0,Medium,24,905
Young,Female,Rent,Married,Far,53700,0,High,24,2491
Young,Female,Rent,Married,Close,63200,0,High,24,1512
Young,Female,Own,Married,Far,68000,0,High,24,3688
Young,Female,Rent,Single,Far,13200,0,NEW,24,358
Young,Male,Rent,Married,Far,41600,0,High,24,1690
Young,Male,Rent,Married,Close,36500,0,Medium,24,1140
Young,Male,Rent,Single,Far,10900,0,Low,24,407
Young,Male,Rent,Single,Far,19500,0,NEW,24,571
Young,Male,Rent,Single,Far,15300,0,Low,24,645
Young,Male,Rent,Single,Far,13900,0,NEW,24,570
Young,Male,Rent,Married,Close,41500,0,NEW,24,1213
Young,Male,Own,Single,Close,20900,0,Low,24,550
Young,Male,Own,Married,Close,62200,0,High,24,1348
Young,Male,Rent,Married,Close,56300,0,NEW,24,1608
Young,Male,Rent,Single,Close,21000,0,Low,24,646
Young,Male,Rent,Married,Close,49300,0,NEW,24,1692
Young,Male,Own,Single,Close,23200,0,NEW,24,534
Young,Male,Rent,Single,Close,14400,0,NEW,24,615
Young,Male,Rent,Single,Close,21300,0,Low,24,677
Young,Male,Rent,Single,Close,10200,0,NEW,24,362
Middle,Female,Own,Single,Close,51300,0,Medium,24,1424
Middle,Female,Own,Married,Close,88200,0,NEW,24,2749
Middle,Female,Rent,Married,Close,53300,0,Medium,24,1598
Middle,Female,Own,Married,Far,80600,0,High,24,2840
Middle,Female,Rent,Married,Close,95900,0,NEW,24,3168
Middle,Female,Rent,Single,Close,46600,0,Medium,24,906
Middle,Female,Own,Married,Far,99200,0,High,24,5503
Middle,Female,Rent,Married,Close,46700,0,Medium,24,983
Middle,Female,Own,Married,Close,97900,0,High,24,2149
Middle,Female,Own,Married,Close,35300,0,Medium,24,1093
Middle,Female,Own,Married,Far,44200,0,High,24,2524
Middle,Female,Rent,Married,Close,48600,0,Medium,24,1583
Middle,Female,Rent,Single,Far,38200,0,Medium,24,1476
Middle,Female,Rent,Married,Close,72100,0,High,24,3052
Middle,Female,Own,Single,Close,43100,0,NEW,24,1444
Middle,Male,Own,Single,Close,60300,0,NEW,24,2091
Middle,Male,Own,Married,Far,73800,0,High,24,3120
Middle,Male,Own,Married,Close,87000,0,High,24,1594
Middle,Male,Own,Single,Close,63200,0,High,24,1932
Middle,Male,Rent,Single,Close,63000,0,High,24,1910
Middle,Male,Rent,Single,Close,61800,0,High,24,1156
Middle,Male,Rent,Single,Close,57800,0,Medium,24,1149
Middle,Male,Own,Married,Close,83700,0,High,24,3344
Middle,Male,Rent,Single,Close,44500,0,Medium,24,1175
Middle,Male,Own,Married,Close,85600,0,High,24,3380
Middle,Male,Rent,Single,Close,54700,0,Medium,24,1355
Middle,Male,Own,Single,Far,75400,0,High,24,2723
Middle,Male,Rent,Single,Far,56900,0,High,24,1857
Middle,Male,Own,Married,Far,72500,0,NEW,24,2595
Middle,Male,Own,Single,Close,60300,0,High,24,1263
Middle,Male,Rent,Single,Far,51100,0,High,24,1984
Middle,Male,Own,Single,Far,49700,0,High,24,2844
Middle,Male,Own,Single,Close,73200,0,High,24,2177
Middle,Male,Own,Married,Close,81200,0,High,24,1856
Middle,Male,Own,Married,Close,104100,0,High,24,2636
Middle,Male,Own,Married,Close,72200,0,High,24,2492
Middle,Male,Own,Married,Close,90300,0,High,24,1944
Middle,Male,Own,Married,Close,102300,0,High,24,2438
Middle,Male,Rent,Single,Far,60200,0,High,24,2304
Middle,Male,Rent,Married,Close,68700,0,High,24,2763
Middle,Male,Own,Married,Far,89500,0,High,24,5209
Middle,Male,Own,Married,Close,70000,0,High,24,1974
Middle,Male,Own,Single,Close,62900,0,NEW,24,2561
Middle,Male,Rent,Single,Close,43200,0,NEW,24,917
Middle,Male,Rent,Single,Far,59000,0,High,24,3044
Middle,Male,Own,Married,Close,83900,0,High,24,1721
Middle,Male,Rent,Single,Far,52200,0,High,24,1909
Middle,Male,Own,Married,Close,84200,0,High,24,1654
Middle,Male,Rent,Single,Close,42300,0,Medium,24,1051
Middle,Male,Own,Married,Close,96500,0,High,24,3780
Middle,Male,Own,Single,Far,72300,0,High,24,4182
Old,Female,Own,Single,Far,28300,0,Medium,24,933
Old,Female,Own,Married,Far,110000,0,High,24,5564
Old,Female,Own,Married,Far,128700,0,High,24,3995
Old,Female,Own,Married,Close,54700,0,Medium,24,1404
Old,Female,Rent,Married,Far,52500,0,High,24,2038
Old,Female,Rent,Single,Close,42500,0,Medium,24,918
Old,Female,Own,Married,Close,82800,0,High,24,3010
Old,Female,Own,Single,Close,32500,0,Medium,24,883
Old,Female,Rent,Single,Far,20400,0,NEW,24,513
Old,Female,Rent,Single,Close,20100,0,Low,24,576
Old,Female,Rent,Married,Far,72200,0,High,24,3069
Old,Female,Own,Single,Close,33200,0,Medium,24,1037
Old,Female,Own,Single,Far,32700,0,Medium,24,1252
Old,Female,Own,Married,Far,91800,0,NEW,24,2452
Old,Female,Own,Single,Close,28500,0,Low,24,621
Old,Female,Own,Married,Far,67900,0,High,24,2925
Old,Female,Own,Married,Close,22400,0,NEW,24,947
Old,Female,Own,Married,Close,65900,0,High,24,1436
Old,Female,Own,Married,Close,70700,0,High,24,2150
Old,Female,Own,Married,Close,103300,0,High,24,3378
Old,Female,Own,Single,Close,14600,0,Low,24,468
Old,Female,Rent,Married,Close,97000,0,NEW,24,2599
Old,Female,Own,Married,Far,81400,0,High,24,3001
Old,Female,Own,Single,Far,42600,0,High,24,1790
Old,Female,Rent,Married,Close,70900,0,High,24,1685
Old,Female,Own,Married,Close,26700,0,Low,24,1120
Old,Female,Rent,Married,Close,71800,0,High,24,1946
Old,Female,Rent,Single,Close,11000,0,NEW,24,195
Old,Male,Own,Married,Far,62300,0,High,24,2644
Old,Male,Own,Married,Close,45900,0,Medium,24,1645
Old,Male,Own,Married,Far,41300,0,High,24,1985
Old,Male,Own,Married,Close,95900,0,High,24,2585
Old,Male,Rent,Married,Far,66200,0,High,24,2057
Old,Male,Own,Single,Close,44800,0,Medium,24,1417
Old,Male,Own,Married,Close,123000,0,High,24,3671
Old,Male,Own,Married,Close,84300,0,High,24,2842
Old,Male,Own,Married,Far,54600,0,High,24,2163
Old,Male,Own,Single,Close,58700,0,NEW,24,1479
Old,Male,Own,Married,Close,58300,0,Medium,24,1472
Old,Male,Rent,Married,Close,69800,0,High,24,2764
Old,Male,Own,Married,Far,112900,0,High,24,6217
Old,Male,Rent,Single,Close,34500,0,Medium,24,639
Old,Male,Own,Single,Close,63200,0,High,24,1507
Old,Male,Own,Married,Close,90600,0,High,24,3167
Old,Male,Own,Married,Close,54600,0,Medium,24,1246
Old,Male,Own,Married,Far,65500,0,High,24,1931
Old,Male,Own,Single,Far,62000,0,High,24,3293
Old,Male,Own,Married,Close,56600,0,NEW,24,1607
Old,Male,Own,Married,Close,134500,0,High,24,4558
Old,Male,Own,Single,Close,38700,0,NEW,24,1506
Old,Male,Own,Married,Far,86500,0,High,24,2690
Young,Female,Rent,Married,Close,36600,0,Medium,6,833
Young,Female,Rent,Single,Far,12600,0,Low,6,241
Young,Female,Rent,Married,Close,79400,0,NEW,6,1175
Young,Female,Rent,Single,Far,16100,0,NEW,6,202
Young,Female,Rent,Married,Far,51900,0,NEW,6,780
Young,Female,Rent,Single,Close,14200,0,NEW,6,192
Young,Female,Rent,Married,Close,42300,0,NEW,6,856
Young,Female,Own,Single,Close,15100,0,Low,6,274
Young,Female,Rent,Single,Far,12000,0,Low,6,264
Young,Female,Own,Married,Far,33700,0,NEW,6,614
Young,Female,Rent,Single,Close,12000,0,Low,6,140
Young,Female,Rent,Married,Close,40000,0,NEW,6,613
Young,Female,Rent,Single,Far,17300,0,Low,6,411
Young,Female,Rent,Married,Close,47300,0,NEW,6,640
Young,Female,Own,Married,Far,70900,0,NEW,6,690
Young,Male,Rent,Single,Close,11200,0,NEW,6,106
Young,Male,Rent,Single,Close,25800,0,NEW,6,451
Young,Male,Rent,Single,Far,20800,0,NEW,6,260
Young,Male,Rent,Single,Close,25000,0,Low,6,264
Young,Male,Own,Married,Close,30400,0,Low,6,495
Young,Male,Rent,Single,Close,15400,0,Low,6,172
Young,Male,Rent,Single,Close,19100,0,NEW,6,176
Young,Male,Rent,Single,Close,17600,0,NEW,6,273
Young,Male,Rent,Single,Close,14200,0,Low,6,250
Young,Male,Own,Single,Close,31900,0,Medium,6,616
Young,Male,Rent,Married,Close,36600,0,NEW,6,587
Young,Male,Rent,Single,Far,19400,0,Low,6,563
Young,Male,Rent,Single,Close,20900,0,NEW,6,296
Young,Male,Rent,Married,Close,45800,0,Medium,6,489
Young,Male,Rent,Married,Close,45500,0,Medium,6,754
Young,Male,Rent,Single,Close,17600,0,NEW,6,245
Young,Male,Own,Married,Close,73000,0,NEW,6,1534
Middle,Female,Rent,Single,Close,47000,0,NEW,6,963
Middle,Female,Own,Single,Far,47500,0,High,6,847
Middle,Female,Rent,Married,Close,68800,0,NEW,6,1658
Middle,Male,Own,Married,Far,74400,0,High,6,1893
Middle,Male,Own,Married,Close,96100,0,High,6,1588
Middle,Male,Own,Single,Far,71500,0,NEW,6,964
Middle,Male,Rent,Single,Close,55600,0,Medium,6,984
Middle,Male,Own,Single,Close,82800,0,NEW,6,1544
Middle,Male,Own,Single,Close,63700,0,NEW,6,1351
Middle,Male,Own,Married,Close,70200,0,NEW,6,1583
Middle,Male,Own,Married,Close,82500,0,High,6,859
Middle,Male,Rent,Single,Close,39000,0,NEW,6,643
Middle,Male,Own,Married,Close,74500,0,High,6,1481
Middle,Male,Rent,Single,Close,54400,0,Medium,6,1150
Middle,Male,Own,Married,Close,42700,0,Medium,6,541
Middle,Male,Rent,Single,Close,60300,0,High,6,701
Middle,Male,Own,Single,Close,45800,0,NEW,6,712
Middle,Male,Own,Married,Close,77700,0,NEW,6,983
Middle,Male,Rent,Single,Close,63600,0,High,6,1318
Middle,Male,Own,Married,Close,96900,0,High,6,1159
Middle,Male,Rent,Single,Close,70000,0,High,6,785
Middle,Male,Rent,Single,Close,49100,0,NEW,6,934
Middle,Male,Own,Married,Close,76100,0,NEW,6,719
Middle,Male,Own,Married,Close,117900,0,High,6,1760
Middle,Male,Own,Single,Close,64300,0,NEW,6,1325
Old,Female,Own,Married,Far,80000,0,High,6,1985
Old,Female,Own,Single,Close,39900,0,NEW,6,619
Old,Female,Rent,Married,Close,38200,0,Medium,6,526
Old,Female,Rent,Single,Far,15100,0,Low,6,348
Old,Female,Own,Single,Close,17300,0,Low,6,166
Old,Female,Own,Single,Close,23800,0,Low,6,438
Old,Female,Own,Single,Close,37300,0,Medium,6,673
Old,Female,Own,Married,Close,72900,0,High,6,753
Old,Female,Own,Married,Close,62600,0,High,6,565
Old,Female,Own,Single,Close,20600,0,Low,6,201
Old,Female,Own,Single,Far,47500,0,High,6,755
Old,Female,Rent,Single,Far,17900,0,Low,6,446
Old,Female,Own,Married,Close,42800,0,Medium,6,685
Old,Female,Own,Single,Close,17600,0,Low,6,224
Old,Female,Own,Married,Close,35000,0,Medium,6,473
Old,Female,Rent,Married,Close,46900,0,Medium,6,703
Old,Female,Own,Single,Far,16300,0,Low,6,317
Old,Female,Own,Married,Close,90500,0,High,6,863
Old,Female,Rent,Single,Far,19700,0,Low,6,535
Old,Female,Rent,Single,Far,13900,0,Low,6,191
Old,Female,Own,Single,Close,24400,0,Low,6,491
Old,Female,Own,Single,Close,64600,0,NEW,6,1298
Old,Female,Own,Single,Close,22800,0,Low,6,258
Old,Female,Own,Single,Close,11400,0,NEW,6,258
Old,Female,Rent,Single,Close,21200,0,Low,6,242
Old,Male,Own,Married,Far,15400,0,Low,6,297
Old,Male,Rent,Single,Close,56300,0,Medium,6,873
Old,Male,Own,Married,Close,23400,0,Low,6,348
Old,Male,Own,Married,Close,73100,0,High,6,1582
Old,Male,Rent,Married,Close,60000,0,Medium,6,966
Old,Male,Rent,Single,Close,29000,0,Low,6,482
Old,Male,Rent,Married,Far,66200,0,NEW,6,1024
Old,Male,Rent,Married,Close,81800,0,High,6,919
Old,Male,Own,Single,Close,51400,0,NEW,6,694
Old,Male,Own,Single,Far,61000,0,High,6,975
Old,Male,Own,Married,Close,168800,0,High,6,1512
Old,Male,Rent,Married,Close,49600,0,Medium,6,770
Old,Male,Own,Married,Close,75500,0,High,6,741
Old,Male,Own,Single,Close,41900,0,Medium,6,654
Young,Female,Rent,Single,Close,16400,1,Low,12,218
Young,Female,Rent,Single,Close,12400,1,NEW,12,229
Young,Female,Rent,Single,Close,13400,1,Low,12,143
Young,Female,Rent,Single,Close,13200,1,Low,12,227
Young,Female,Own,Single,Close,20300,1,Low,12,304
Young,Female,Rent,Single,Close,17200,1,NEW,12,329
Young,Female,Rent,Single,Far,12500,1,NEW,12,422
Young,Female,Rent,Single,Close,22000,1,Low,12,472
Young,Female,Rent,Single,Close,21900,1,NEW,12,576
Young,Female,Rent,Single,Close,20100,1,Low,12,271
Young,Female,Own,Single,Far,27900,1,NEW,12,576
Young,Female,Rent,Single,Far,18400,1,Low,12,662
Young,Female,Rent,Single,Far,20700,1,Low,12,550
Young,Female,Rent,Married,Far,47200,1,Medium,12,1272
Young,Female,Rent,Single,Close,26700,1,NEW,12,459
Young,Female,Rent,Single,Close,16300,1,NEW,12,470
Young,Female,Own,Single,Far,41000,1,Medium,12,768
Young,Male,Rent,Married,Close,52600,1,Medium,12,1052
Young,Male,Rent,Single,Close,27100,1,Low,12,268
Young,Male,Rent,Single,Close,31600,1,NEW,12,476
Young,Male,Rent,Single,Close,21300,1,NEW,12,329
Young,Male,Rent,Single,Close,17700,1,Low,12,268
Young,Male,Rent,Married,Close,43700,1,NEW,12,927
Young,Male,Rent,Single,Far,13800,1,Low,12,368
Young,Male,Rent,Single,Far,14800,1,NEW,12,376
Young,Male,Rent,Single,Far,22900,1,NEW,12,814
