ID,Sales_Price,Zoning,Lot_Area,Alley,Lot_Config,Overall_Qual,Foundation,Bsmt_SF,Central_Air,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedrooms,Kitchen,TotalRooms,Fireplaces,Garage_Cars
40,290941,Low_Density,12883,NoAccess,Corner,Excellent,others,1544,Y,1544,0,2,0,3,1,7,0,3
41,220000,Low_Density,12182,NoAccess,Corner,Good,others,1541,Y,1541,0,2,0,3,1,7,1,2
42,275000,Low_Density,11520,NoAccess,Inside,Excellent,others,1698,Y,1698,0,2,0,3,1,7,1,3
43,259000,Low_Density,14122,NoAccess,Inside,Excellent,others,1822,Y,1822,0,2,0,3,1,8,1,3
44,214000,Low_Density,10171,NoAccess,Inside,Good,others,1517,Y,1535,0,2,0,3,1,7,0,2
45,611657,Low_Density,12919,NoAccess,Inside,Excellent,others,2330,Y,2364,0,2,1,2,1,11,2,3
46,224000,Low_Density,6371,NoAccess,Inside,Good,others,1358,Y,1358,0,2,0,2,1,6,1,2
47,500000,Low_Density,14300,NoAccess,Inside,Excellent,others,2846,Y,2696,0,2,1,3,1,10,2,3
48,320000,Low_Density,13650,NoAccess,Corner,Excellent,others,1671,Y,1687,563,2,1,3,1,7,1,3
49,319900,Low_Density,7658,NoAccess,Inside,Excellent,others,1752,Y,1752,0,2,0,2,1,6,1,2
50,205000,Low_Density,7132,NoAccess,Inside,Excellent,others,1370,Y,1370,0,2,0,2,1,6,1,2
51,175500,Low_Density,2628,NoAccess,Inside,Good,others,764,Y,764,862,2,1,2,1,6,0,2
52,199500,Low_Density,18494,NoAccess,Corner,Good,others,1324,Y,1324,0,2,0,3,1,6,0,2
53,160000,Low_Density,3203,NoAccess,Inside,Good,others,1145,Y,1145,0,2,0,2,1,6,0,2
54,192000,Low_Density,3182,NoAccess,Inside,Excellent,others,1256,Y,1269,0,2,0,2,1,6,1,2
55,184500,Low_Density,13300,NoAccess,Inside,Good,others,384,Y,744,630,2,1,3,1,7,1,2
56,216500,Low_Density,7851,NoAccess,Inside,Good,others,860,Y,860,1100,2,1,4,1,8,2,2
57,185088,Low_Density,8577,NoAccess,Inside,Good,others,847,Y,847,886,2,1,3,1,7,1,2
58,180000,Low_Density,7750,NoAccess,Inside,Good,others,384,Y,774,656,2,1,3,1,7,1,2
59,222500,Low_Density,9505,NoAccess,CulDSac,Good,others,884,Y,884,1151,2,1,3,1,8,1,2
60,333168,Low_Density,14774,NoAccess,Corner,Excellent,others,1393,Y,1422,1177,2,1,4,1,10,1,3
61,355000,Low_Density,17433,NoAccess,CulDSac,Excellent,others,1629,Y,1645,830,2,1,4,1,7,1,3
62,260400,Low_Density,10593,NoAccess,Inside,Good,others,1720,Y,1720,0,2,0,3,1,7,1,2
63,325000,Low_Density,12256,NoAccess,Corner,Excellent,others,1463,Y,1500,1122,2,1,3,1,9,2,2
64,290000,Low_Density,11764,NoAccess,CulDSac,Excellent,others,1152,Y,1164,1106,2,1,4,1,9,1,3
65,221000,Low_Density,16770,NoAccess,CulDSac,Good,others,1195,Y,1195,644,2,1,4,1,7,0,2
66,410000,Low_Density,14720,NoAccess,CulDSac,Excellent,others,2033,Y,2053,1185,2,1,4,1,9,1,3
67,221500,Low_Density,8987,NoAccess,Inside,Excellent,others,1595,Y,1595,0,2,0,2,1,6,1,3
68,204500,FloatingVillage,9215,NoAccess,Inside,Good,others,1218,Y,1218,0,2,0,2,1,4,0,2
69,215200,FloatingVillage,8640,NoAccess,Inside,Good,others,756,Y,764,783,2,1,3,1,7,0,2
70,262500,FloatingVillage,9000,NoAccess,Inside,Excellent,others,1566,Y,1566,0,2,0,3,1,7,0,2
71,254900,FloatingVillage,12552,NoAccess,Corner,Good,others,991,Y,991,956,2,1,3,1,8,1,2
72,271500,FloatingVillage,10440,NoAccess,Corner,Good,others,1468,Y,1468,0,2,0,2,1,6,1,2
73,233000,Low_Density,10142,NoAccess,Inside,Good,others,956,Y,956,1128,2,1,4,1,8,0,2
74,181000,Low_Density,11920,NoAccess,Inside,Good,others,831,Y,831,828,2,1,3,1,8,0,2
75,205000,Low_Density,8880,NoAccess,Inside,Good,others,948,Y,1222,888,2,1,3,1,8,2,2
76,143000,Low_Density,8012,NoAccess,Inside,Good,others,923,Y,923,0,2,0,2,1,5,1,1
77,189000,Low_Density,11218,NoAccess,Inside,Good,others,1055,Y,1055,790,2,1,3,1,8,1,2
78,99500,Low_Density,7892,NoAccess,Inside,Good,others,918,Y,918,0,2,0,2,1,5,1,1
79,125000,Low_Density,7175,NoAccess,Inside,Good,others,744,Y,752,0,1,0,2,1,4,0,1
80,194500,Low_Density,9453,NoAccess,CulDSac,Good,others,996,Y,1014,730,2,1,3,1,7,0,2
81,152000,Low_Density,9672,NoAccess,Corner,Good,others,1040,Y,1097,0,2,0,3,1,6,0,2
82,171000,Low_Density,8400,NoAccess,Inside,Good,others,650,Y,888,676,2,1,3,1,7,1,2
83,67500,High_Density,9800,NoAccess,Corner,Average,others,816,N,1012,0,1,0,2,1,5,0,1
84,112000,Medium_Density,8930,NoAccess,Inside,Good,Slab,0,Y,1318,584,2,0,4,2,8,0,2
85,148000,Low_Density,11782,NoAccess,Inside,Average,others,1109,Y,1155,0,1,0,3,1,6,0,2
86,138500,Low_Density,8450,NoAccess,Inside,Average,others,894,Y,894,0,1,0,3,1,5,1,1
87,122000,Low_Density,9819,NoAccess,Inside,Average,others,882,Y,900,0,1,0,3,1,5,0,1
88,133000,Low_Density,7500,NoAccess,Corner,Average,others,1040,Y,1040,0,1,1,3,1,5,0,1
89,127000,Low_Density,6897,NoAccess,Corner,Average,others,1040,Y,1040,0,1,1,3,1,6,0,1
90,169000,Low_Density,15410,NoAccess,CulDSac,Good,others,1208,Y,1494,0,2,0,3,1,7,2,2
91,190000,Low_Density,10186,NoAccess,Inside,Good,others,750,Y,1061,862,2,1,3,1,8,1,2
92,362500,Low_Density,13143,NoAccess,Inside,Excellent,others,1231,Y,1251,1098,2,1,4,1,9,1,3
93,285000,Low_Density,11134,NoAccess,Inside,Excellent,others,1390,Y,1402,823,2,1,4,1,7,1,3
94,260000,FloatingVillage,4835,NoAccess,CulDSac,Good,others,1488,Y,1488,0,2,0,2,1,6,1,2
95,190000,FloatingVillage,3515,Paved,Inside,Good,others,840,Y,840,840,2,1,2,1,3,0,2
96,155000,FloatingVillage,3215,Paved,Inside,Good,others,600,Y,600,600,2,1,2,1,4,0,2
97,151000,FloatingVillage,3182,Paved,Inside,Good,others,600,Y,600,600,2,1,2,1,4,0,2
98,149500,FloatingVillage,2544,Paved,Inside,Good,others,600,Y,600,600,2,1,2,1,4,0,2
99,152000,FloatingVillage,2544,Paved,Inside,Good,others,600,Y,600,636,2,1,2,1,4,0,2
100,222000,FloatingVillage,4403,NoAccess,Inside,Good,others,1470,Y,1478,0,2,1,2,1,7,1,2
101,177500,FloatingVillage,2117,NoAccess,Inside,Good,others,756,Y,769,804,2,1,3,1,5,0,2
102,177000,FloatingVillage,2980,NoAccess,Corner,Good,others,756,Y,756,756,2,1,2,1,5,0,2
103,155000,FloatingVillage,2572,NoAccess,Front,Good,others,696,Y,696,720,2,1,3,1,6,0,2
104,147110,FloatingVillage,2403,NoAccess,Front,Good,others,530,Y,530,550,2,1,2,1,4,0,2
105,267916,FloatingVillage,12853,Paved,Inside,Excellent,others,1642,Y,1418,0,1,1,1,1,6,1,3
106,254000,FloatingVillage,7379,NoAccess,Inside,Excellent,others,975,Y,975,873,2,1,3,1,7,1,2
107,155000,Low_Density,4420,NoAccess,CulDSac,Excellent,others,728,Y,788,0,1,0,1,1,3,1,2
108,206000,Low_Density,3880,NoAccess,Inside,Excellent,others,1226,Y,1226,0,1,0,1,1,4,1,2
109,130500,Low_Density,13517,NoAccess,CulDSac,Good,others,725,Y,725,754,2,1,3,1,6,0,2
110,230000,FloatingVillage,8000,NoAccess,Inside,Good,others,1492,Y,1492,0,2,0,3,1,6,1,2
111,218500,Low_Density,10456,NoAccess,Inside,Good,others,1829,Y,1829,0,2,0,4,1,8,0,2
112,243500,Low_Density,10791,NoAccess,Inside,Good,others,1280,Y,1280,1215,2,1,4,1,9,1,2
113,205000,Low_Density,10603,NoAccess,Inside,Good,others,1610,Y,1610,0,2,0,3,1,6,2,2
114,212500,Low_Density,18837,NoAccess,Inside,Good,others,1224,Y,1287,604,3,0,3,1,7,1,2
115,196500,Low_Density,10421,NoAccess,Inside,Good,others,980,Y,980,734,2,1,3,1,7,1,2
116,197500,Low_Density,9360,NoAccess,Inside,Good,others,1161,Y,1381,0,1,1,3,1,5,1,2
117,171000,Low_Density,9600,NoAccess,Inside,Good,others,715,Y,930,715,1,2,4,1,7,0,2
118,142250,Low_Density,9600,NoAccess,Inside,Average,others,1232,Y,1232,0,1,1,3,1,6,0,2
119,143000,Low_Density,9790,NoAccess,Inside,Good,others,1328,Y,1328,0,1,1,3,1,6,2,2
120,128950,Low_Density,9320,NoAccess,Inside,Poor,others,950,Y,1225,0,1,1,3,1,6,0,0
121,159000,Low_Density,9900,NoAccess,Corner,Average,others,1209,Y,1209,0,1,0,3,1,6,0,2
122,178900,Low_Density,9680,NoAccess,Inside,Average,others,1510,Y,1510,0,2,0,3,1,6,0,2
123,136300,Low_Density,10600,Paved,Inside,Good,others,533,Y,1131,644,2,0,3,1,8,0,2
124,180500,Low_Density,14112,NoAccess,Corner,Average,others,1152,Y,1152,0,1,0,3,1,6,1,2
125,137500,Low_Density,8800,NoAccess,Inside,Good,others,936,Y,1054,0,1,0,3,1,6,0,2
126,84900,Low_Density,13260,NoAccess,Inside,Average,others,1728,Y,1728,0,2,0,6,2,10,0,0
127,142125,Low_Density,9717,NoAccess,Inside,Average,others,1078,Y,1078,0,1,0,2,1,5,0,1
128,197600,Low_Density,9724,NoAccess,Inside,Average,others,1140,Y,1929,532,2,0,3,1,7,2,2
129,172500,Low_Density,17360,NoAccess,Corner,Good,others,782,Y,1019,537,2,0,3,1,6,1,2
130,116500,Low_Density,7207,NoAccess,Inside,Average,others,858,Y,858,0,1,0,2,1,4,0,0
131,76500,Low_Density,5350,NoAccess,Inside,Average,others,728,Y,1306,0,1,0,3,1,6,0,0
132,128000,Low_Density,9920,NoAccess,Inside,Average,others,1056,Y,1063,0,1,0,3,1,6,0,1
133,153000,Low_Density,9600,NoAccess,Inside,Good,others,1156,Y,1520,0,1,0,3,1,7,2,1
134,132000,Low_Density,7800,NoAccess,Inside,Average,others,1268,Y,1268,0,1,0,2,1,7,1,1
135,178000,Low_Density,11380,NoAccess,Inside,Good,others,1080,Y,1128,0,1,0,2,1,5,1,1
136,154300,Low_Density,11600,NoAccess,Corner,Average,others,1105,Y,1105,1169,2,0,5,2,12,0,2
137,180000,Low_Density,19900,NoAccess,Inside,Good,others,1947,Y,2207,0,2,0,3,1,7,1,2
138,190000,Low_Density,16492,NoAccess,Corner,Good,others,1517,Y,1888,0,2,1,2,1,6,1,2
139,135000,Low_Density,8267,NoAccess,Corner,Average,others,1604,Y,1604,0,2,0,4,2,8,0,2
140,214000,Low_Density,8197,NoAccess,Inside,Good,others,1480,Y,1480,0,2,0,3,1,7,0,2
141,136000,Low_Density,8050,NoAccess,Inside,Average,others,1143,Y,1143,0,1,0,3,1,6,0,1
142,165500,Low_Density,10552,NoAccess,Inside,Average,others,1398,Y,1700,0,1,1,4,1,6,1,2
143,145000,Low_Density,8400,NoAccess,Inside,Average,others,1314,Y,1314,0,1,0,3,1,5,0,1
144,148000,Low_Density,8760,NoAccess,Inside,Good,others,1194,Y,1194,0,1,0,3,1,6,0,1
145,142000,Low_Density,12160,NoAccess,Inside,Average,others,1188,Y,1188,0,1,0,3,1,6,0,2
146,167500,Low_Density,9300,NoAccess,Inside,Average,others,1268,Y,1264,0,1,0,3,1,6,2,2
147,108538,Low_Density,10725,NoAccess,Inside,Average,others,1206,Y,1206,0,1,0,3,1,6,0,1
148,159500,Low_Density,10032,NoAccess,Inside,Good,others,1244,Y,1580,0,1,1,3,1,6,2,2
149,108000,Low_Density,8382,NoAccess,Inside,Poor,others,832,Y,832,505,1,0,3,1,5,0,1
150,135000,Low_Density,10950,NoAccess,Inside,Average,others,864,Y,1064,0,1,0,2,1,4,0,1
151,122500,Low_Density,10895,NoAccess,Corner,Average,others,972,Y,972,0,1,0,3,1,5,0,1
152,119000,Low_Density,13587,NoAccess,Inside,Average,others,988,Y,988,0,1,0,2,1,5,0,1
153,109000,Low_Density,7922,NoAccess,Inside,Average,others,1057,Y,1057,0,1,0,3,1,5,0,1
154,105000,Low_Density,7898,NoAccess,Corner,Poor,others,576,Y,985,0,1,0,2,1,4,0,2
155,107500,Low_Density,7200,NoAccess,Inside,Average,Slab,0,Y,827,0,1,0,2,1,5,1,1
156,144900,Low_Density,10200,NoAccess,Inside,Average,others,1086,Y,1086,0,1,0,3,1,6,0,2
157,129000,Low_Density,5868,NoAccess,Inside,Average,others,936,Y,936,0,1,0,2,1,4,0,1
158,97500,Low_Density,17503,NoAccess,Inside,Good,others,912,Y,912,546,1,0,3,1,6,1,1
159,144000,Low_Density,6979,NoAccess,Inside,Good,others,1056,Y,1056,0,0,0,0,2,4,0,2
160,162000,Low_Density,9830,NoAccess,Corner,Average,others,1063,Y,1287,0,1,0,3,1,7,1,2
161,242000,Low_Density,11275,NoAccess,Corner,Good,others,710,Y,1898,1080,2,1,5,1,11,1,2
162,132000,Low_Density,8064,NoAccess,Inside,Good,others,816,Y,816,408,1,0,3,1,5,0,1
163,154000,Low_Density,7500,NoAccess,Inside,Average,others,1246,Y,1246,0,1,1,3,1,6,0,1
164,166000,Low_Density,8520,NoAccess,Corner,Average,others,910,Y,910,475,2,0,4,1,6,0,2
165,134800,Low_Density,7200,NoAccess,Corner,Average,others,900,Y,900,0,1,0,3,1,5,0,2
166,160000,Low_Density,10000,NoAccess,Corner,Good,others,1116,Y,1116,0,1,1,3,1,5,0,2
167,148000,Low_Density,7635,NoAccess,Corner,Average,others,1175,Y,1175,0,1,1,3,1,6,0,2
168,192000,Low_Density,9760,NoAccess,Inside,Good,others,1395,Y,1395,0,1,0,2,1,7,1,2
169,155000,Low_Density,7700,NoAccess,Inside,Good,others,756,Y,1051,788,1,1,4,1,7,1,2
170,80400,Medium_Density,4800,NoAccess,Corner,Poor,others,709,Y,1157,687,1,0,3,1,9,2,1
171,96500,Medium_Density,8800,Gravel,Corner,Poor,others,576,Y,792,348,1,0,3,1,7,0,0
172,109500,Medium_Density,4485,Gravel,Inside,Average,others,936,Y,936,0,1,0,2,1,5,1,0
173,115000,Medium_Density,8960,Gravel,Inside,Average,others,1008,Y,1028,0,1,0,2,1,5,1,2
174,143000,Medium_Density,5805,Gravel,Inside,Average,others,1347,Y,1347,0,1,0,3,1,6,0,2
175,107400,Medium_Density,5790,NoAccess,Corner,Average,others,840,N,840,765,2,0,3,2,8,0,1
176,80000,Medium_Density,4608,NoAccess,Corner,Poor,others,747,Y,747,0,1,0,2,1,4,0,1
177,119000,Medium_Density,7200,NoAccess,Corner,Average,others,788,Y,804,0,1,0,2,1,4,2,1
178,130000,Medium_Density,5500,NoAccess,Corner,Average,others,926,Y,926,0,1,0,3,1,6,0,2
179,119000,Medium_Density,6900,NoAccess,Corner,Good,others,827,Y,827,424,1,0,3,1,6,0,1
180,129000,Medium_Density,11851,NoAccess,Inside,Average,others,1027,Y,1027,606,1,0,3,1,7,1,1
181,100000,Medium_Density,8239,NoAccess,Inside,Average,others,1008,Y,1060,185,1,0,3,1,6,0,1
182,12789,Medium_Density,9656,NoAccess,Inside,Poor,others,678,N,832,0,1,0,2,1,5,1,2
183,105900,Medium_Density,8520,NoAccess,Inside,Good,others,624,Y,720,0,1,0,2,1,5,0,2
184,150000,Medium_Density,9600,Gravel,Corner,Excellent,others,930,N,930,636,2,0,3,1,7,0,1
185,139000,Medium_Density,10800,NoAccess,Inside,Average,others,686,Y,966,686,2,0,4,1,7,0,1
186,240000,Medium_Density,9000,Gravel,Inside,Excellent,Stone,346,Y,1157,1111,3,0,3,1,7,0,2
187,76500,Medium_Density,9045,NoAccess,Inside,Average,others,840,N,1128,1128,2,0,4,2,12,0,0
188,149700,Medium_Density,7407,NoAccess,Inside,Good,others,912,Y,1236,0,1,0,2,1,6,0,2
189,125500,Medium_Density,7740,NoAccess,Inside,Poor,others,622,Y,741,622,1,0,3,1,6,0,2
190,122500,Medium_Density,11340,NoAccess,Inside,Poor,others,777,Y,1246,1044,2,0,4,2,11,0,2
191,140750,Medium_Density,10560,NoAccess,Inside,Good,others,738,Y,868,602,1,1,2,1,6,0,2
192,128500,Medium_Density,5830,NoAccess,Corner,Average,others,988,Y,1030,582,1,1,3,1,7,0,1
193,209500,Low_Density,7793,NoAccess,Corner,Good,others,1108,N,1160,908,1,1,3,1,8,1,1
194,87000,Medium_Density,5000,NoAccess,Inside,Poor,others,765,N,765,0,1,0,2,1,4,0,1
195,134000,Medium_Density,6000,NoAccess,Inside,Good,others,608,Y,608,524,1,0,2,1,5,0,1
196,128000,Medium_Density,6000,NoAccess,Inside,Good,others,572,Y,848,348,1,1,3,1,6,2,2
197,132000,Medium_Density,6360,NoAccess,Corner,Average,others,835,Y,955,498,1,1,3,1,7,2,1
198,139900,Medium_Density,6000,NoAccess,Inside,Good,others,780,Y,780,636,1,1,3,1,6,0,1
199,123900,Medium_Density,6240,NoAccess,Inside,Average,others,528,Y,548,492,1,0,2,1,5,0,2
200,138400,Medium_Density,6240,NoAccess,Inside,Average,others,928,Y,928,608,2,0,4,1,7,1,2
201,109500,Medium_Density,6120,NoAccess,Inside,Good,others,1124,Y,1068,0,1,0,2,1,5,1,1
202,140000,Medium_Density,10300,NoAccess,Inside,Good,others,576,Y,902,808,2,0,3,1,9,0,2
203,149500,Medium_Density,8094,Gravel,Inside,Poor,others,888,Y,888,1074,1,1,4,1,9,1,2
204,159900,Medium_Density,12900,Gravel,Inside,Good,others,780,Y,780,780,1,1,3,1,7,0,0
205,122000,Medium_Density,3068,Gravel,Inside,Good,others,662,Y,662,662,1,0,3,1,6,0,1
206,110000,Medium_Density,8472,NoAccess,Corner,Average,others,816,N,816,0,1,0,2,1,5,0,2
207,55000,Medium_Density,5600,NoAccess,Inside,Poor,Slab,0,N,372,720,2,0,3,2,7,0,0
208,140000,Medium_Density,7630,NoAccess,Inside,Average,others,360,Y,1032,780,2,0,4,2,8,1,2
209,244400,Low_Density,24090,NoAccess,Inside,Good,others,1032,Y,1207,1196,2,0,4,1,10,2,1
210,173000,Low_Density,15263,NoAccess,Inside,Average,others,1422,Y,1675,0,2,0,3,1,8,2,1
211,107500,Low_Density,10632,NoAccess,Inside,Average,others,689,N,725,499,1,1,3,1,6,0,1
212,100000,Low_Density,9900,NoAccess,Inside,Average,others,1212,N,1212,180,1,0,3,1,6,0,0
213,95000,Low_Density,6001,NoAccess,Inside,Good,others,600,N,600,319,1,0,3,1,5,0,1
215,114900,High_Density,6048,NoAccess,Corner,Average,others,856,Y,936,744,2,0,2,2,7,1,2
216,94000,Low_Density,6342,NoAccess,Inside,Average,others,780,N,780,240,1,0,2,1,6,0,0
217,136000,Low_Density,10773,NoAccess,Inside,Poor,others,1832,N,1832,0,2,0,4,2,8,0,0
218,136500,Low_Density,10778,NoAccess,Inside,Poor,others,1768,N,1768,0,2,0,4,2,8,0,0
219,131500,Low_Density,11625,NoAccess,Inside,Average,others,1039,Y,1039,0,1,1,3,1,6,0,2
220,121500,Low_Density,11341,NoAccess,Inside,Average,others,1392,Y,1392,0,1,1,3,1,5,1,2
221,125000,Low_Density,8521,NoAccess,Front,Average,others,912,Y,912,0,1,0,3,1,5,1,1
222,154000,Low_Density,8246,NoAccess,Inside,Average,others,1060,Y,1060,0,1,0,3,1,6,1,1
223,137900,Low_Density,7800,NoAccess,Inside,Average,others,864,Y,892,0,1,0,3,1,5,0,1
224,158000,Low_Density,9364,NoAccess,Corner,Good,others,663,Y,663,689,1,1,4,1,7,0,1
225,137250,Low_Density,7832,NoAccess,Inside,Average,others,864,Y,864,0,1,0,2,1,4,0,1
226,160250,Low_Density,7424,NoAccess,Inside,Average,others,1319,Y,1373,0,1,0,3,1,5,2,2
227,163000,Low_Density,11227,NoAccess,Inside,Average,others,720,Y,720,720,1,1,4,1,7,2,2
228,158900,Low_Density,11616,NoAccess,CulDSac,Good,others,672,Y,672,714,2,1,3,1,6,1,2
229,328000,Low_Density,14000,NoAccess,Inside,Good,others,1306,Y,1306,954,2,1,3,1,7,0,2
230,270000,Low_Density,20062,NoAccess,Inside,Good,others,1420,Y,1483,0,1,1,1,1,4,2,2
231,85000,Low_Density,9259,NoAccess,Corner,Poor,others,660,N,756,0,1,0,2,1,4,0,2
232,128000,Low_Density,9600,NoAccess,Inside,Poor,others,1067,Y,1067,0,2,0,2,1,4,0,2
233,260000,Low_Density,23595,NoAccess,Inside,Good,others,1332,Y,1332,192,0,1,0,1,4,1,2
234,230000,Low_Density,17082,NoAccess,CulDSac,Good,others,1117,Y,1117,864,2,1,4,1,8,1,2
235,124000,Low_Density,18600,NoAccess,Inside,Average,others,972,Y,1052,558,2,0,4,1,8,1,1
236,83000,Low_Density,10625,NoAccess,Corner,Average,others,458,N,835,0,1,0,2,1,5,0,1
237,144500,Low_Density,11479,NoAccess,Inside,Good,others,663,Y,1074,0,1,0,3,1,6,1,1
238,129000,Low_Density,9571,NoAccess,Inside,Average,others,1144,Y,1144,0,1,0,3,1,6,0,1
239,127000,Low_Density,9350,NoAccess,Inside,Poor,others,756,Y,1169,0,1,0,3,1,8,1,1
240,128000,Low_Density,9525,NoAccess,Inside,Average,others,1172,Y,1172,0,1,0,3,1,5,0,1
241,186000,Low_Density,10420,NoAccess,Corner,Good,others,1212,Y,1212,0,2,0,3,1,6,0,2
242,308030,Low_Density,17485,NoAccess,Inside,Good,others,1508,Y,1508,0,1,0,1,1,5,2,2
243,114000,Low_Density,11200,NoAccess,CulDSac,Average,others,1250,Y,1298,0,2,0,3,1,5,0,2
244,84900,Low_Density,11100,NoAccess,Inside,Poor,others,0,Y,930,0,1,0,2,1,6,0,1
245,178000,Low_Density,9206,NoAccess,Inside,Good,others,741,Y,977,755,2,1,3,1,7,1,2
246,270000,Low_Density,11980,NoAccess,Inside,Good,others,1433,Y,1433,0,1,1,1,1,4,2,2
247,218000,Low_Density,12361,NoAccess,CulDSac,Good,others,946,Y,964,838,2,1,3,1,8,1,4
248,236000,Low_Density,9938,NoAccess,Inside,Good,others,1050,Y,1062,887,2,1,3,1,8,1,2
249,147000,Low_Density,9069,NoAccess,Inside,Good,others,936,Y,996,0,1,0,2,1,5,0,2
250,245350,Low_Density,10475,NoAccess,Corner,Excellent,others,1694,Y,1694,0,2,0,3,1,7,0,3
251,206000,Low_Density,6762,NoAccess,Inside,Good,others,1187,Y,1208,0,2,0,2,1,6,0,2
252,198900,Low_Density,10402,NoAccess,Corner,Good,others,1226,Y,1226,0,2,0,3,1,6,0,3
253,187000,Low_Density,7360,NoAccess,Inside,Good,others,1222,Y,1222,0,2,0,2,1,6,0,2
254,320000,Low_Density,12376,NoAccess,Corner,Good,others,1673,Y,1699,1523,3,0,5,1,11,2,3
255,138500,Low_Density,14235,NoAccess,Inside,Good,others,676,Y,831,614,2,0,3,1,6,0,2
256,155000,Low_Density,8816,NoAccess,Inside,Good,others,1010,Y,1052,0,1,0,3,1,6,0,2
